,TOKEN,POS
0,學,VERB
1,而,CCONJ
2,第,NOUN
3,一,NUM
4,子,NOUN
5,曰,VERB
6,學,VERB
7,而,CCONJ
8,時,NOUN
9,習,VERB
10,之,PRON
11,不,ADV
12,亦,ADV
13,說,VERB
14,乎,PART
15,有,VERB
16,朋,NOUN
17,自,ADP
18,遠,VERB
19,方,NOUN
20,來,VERB
21,不,ADV
22,亦,ADV
23,樂,VERB
24,乎,PART
25,人,NOUN
26,不,ADV
27,知,VERB
28,而,CCONJ
29,不,ADV
30,慍,VERB
31,不,ADV
32,亦,ADV
33,君子,NOUN
34,乎,PART
35,有子,PROPN
36,曰,VERB
37,其,PRON
38,為,AUX
39,人,NOUN
40,也,PART
41,孝,VERB
42,弟,NOUN
43,而,CCONJ
44,好,VERB
45,犯,VERB
46,上,NOUN
47,者,PART
48,鮮,VERB
49,矣,PART
50,不,ADV
51,好,VERB
52,犯,VERB
53,上,NOUN
54,而,CCONJ
55,好,VERB
56,作,VERB
57,亂,VERB
58,者,PART
59,未,ADV
60,之,PRON
61,有,VERB
62,也,PART
63,君子,NOUN
64,務,VERB
65,本,NOUN
66,本,NOUN
67,立,VERB
68,而,CCONJ
69,道,NOUN
70,生,VERB
71,孝,VERB
72,弟,NOUN
73,也,PART
74,者,PART
75,其,PRON
76,為,VERB
77,仁,NOUN
78,之,SCONJ
79,本,NOUN
80,與,PART
81,子,NOUN
82,曰,VERB
83,巧,VERB
84,言,NOUN
85,令,VERB
86,色,NOUN
87,鮮,VERB
88,矣,PART
89,仁,NOUN
90,曾子,PROPN
91,曰,VERB
92,吾,PRON
93,日,NOUN
94,三,NUM
95,省,VERB
96,吾,PRON
97,身,NOUN
98,─,ADV
99,為,ADP
100,人,NOUN
101,謀,VERB
102,而,CCONJ
103,不,ADV
104,忠,VERB
105,乎,PART
106,與,ADP
107,朋,NOUN
108,友,NOUN
109,交,VERB
110,而,CCONJ
111,不,ADV
112,信,VERB
113,乎,PART
114,傳,VERB
115,不,ADV
116,習,VERB
117,乎,PART
118,子,NOUN
119,曰,VERB
120,道,VERB
121,千,NUM
122,乘,NOUN
123,之,SCONJ
124,國,NOUN
125,敬,VERB
126,事,NOUN
127,而,CCONJ
128,信,VERB
129,節,VERB
130,用,VERB
131,而,CCONJ
132,愛,VERB
133,人,NOUN
134,使,VERB
135,民,NOUN
136,以,VERB
137,時,NOUN
138,子,NOUN
139,曰,VERB
140,弟子,NOUN
141,入,VERB
142,則,ADV
143,孝,VERB
144,出,VERB
145,則,ADV
146,弟,NOUN
147,謹,VERB
148,而,CCONJ
149,信,VERB
150,凡,ADV
151,愛,VERB
152,眾,NOUN
153,而,CCONJ
154,親,VERB
155,仁,NOUN
156,行,VERB
157,有,VERB
158,餘,NOUN
159,力,NOUN
160,則,ADV
161,以,ADV
162,學,VERB
163,文,NOUN
164,子夏,PROPN
165,曰,VERB
166,賢,VERB
167,賢,NOUN
168,易,VERB
169,色,NOUN
170,事,VERB
171,父,NOUN
172,母,NOUN
173,能,AUX
174,竭,VERB
175,其,PRON
176,力,NOUN
177,事,VERB
178,君,NOUN
179,能,AUX
180,致,VERB
181,其,PRON
182,身,NOUN
183,與,ADP
184,朋,NOUN
185,友,NOUN
186,交,VERB
187,言,VERB
188,而,CCONJ
189,有,VERB
190,信,NOUN
191,雖,ADV
192,曰,VERB
193,未,ADV
194,學,VERB
195,吾,PRON
196,必,ADV
197,謂,VERB
198,之,PRON
199,學,NOUN
200,矣,PART
201,子,NOUN
202,曰,VERB
203,君子,NOUN
204,不,ADV
205,重,VERB
206,則,ADV
207,不,ADV
208,威,VERB
209,學,NOUN
210,則,ADV
211,不,ADV
212,固,ADV
213,主,VERB
214,忠,NOUN
215,信,NOUN
216,無,VERB
217,友,VERB
218,不,ADV
219,如,VERB
220,己,PRON
221,者,PART
222,過,ADV
223,則,ADV
224,勿,ADV
225,憚,VERB
226,改,VERB
227,曾子,PROPN
228,曰,VERB
229,慎,ADV
230,終,ADV
231,追,VERB
232,遠,VERB
233,民,NOUN
234,德,NOUN
235,歸,VERB
236,厚,VERB
237,矣,PART
238,子禽,PROPN
239,問,VERB
240,於,ADP
241,子貢,PROPN
242,曰,VERB
243,夫子,NOUN
244,至,VERB
245,於,ADP
246,是,PRON
247,邦,NOUN
248,也,PART
249,必,ADV
250,聞,VERB
251,其,PRON
252,政,NOUN
253,求,VERB
254,之,PRON
255,與,ADP
256,抑,ADV
257,與,VERB
258,之,PRON
259,與,PART
260,子貢,PROPN
261,曰,VERB
262,夫子,NOUN
263,溫,VERB
264,良,VERB
265,恭,VERB
266,儉,ADV
267,讓,VERB
268,以,ADV
269,得,VERB
270,之,PRON
271,夫子,NOUN
272,之,SCONJ
273,求,VERB
274,之,PRON
275,也,PART
276,其,PRON
277,諸,NOUN
278,異,VERB
279,乎,ADP
