,TOKEN,POS
0,春,NOUN
1,秋,NOUN
2,左,VERB
3,传,NOUN
4,左,NOUN
5,丘,NOUN
6,明,VERB
7,著,VERB
8,目,NOUN
9,录,NOUN
10,隐公,NOUN
11,元,NOUN
12,年,NOUN
13,十一,NUM
14,年,NOUN
15,桓公,NOUN
16,元,NOUN
17,年,NOUN
18,十八,NUM
19,年,NOUN
20,庄公,NOUN
21,元,NOUN
22,年,NOUN
23,三十二,NUM
24,年,NOUN
25,闵,PROPN
26,公,NOUN
27,元,NOUN
28,年,NOUN
29,二,NUM
30,年,NOUN
31,僖,PROPN
32,公,NOUN
33,元,NOUN
34,年,NOUN
35,三十三,NUM
36,年,NOUN
37,文公,NOUN
38,元,NOUN
39,年,NOUN
40,十八,NUM
41,年,NOUN
42,宣公,NOUN
43,元,NOUN
44,年,NOUN
45,十八,NUM
46,年,NOUN
47,成公,NOUN
48,元,NOUN
49,年,NOUN
50,十八,NUM
51,年,NOUN
52,襄公,NOUN
53,元,NOUN
54,年,NOUN
55,三十一,NUM
56,年,NOUN
57,昭,PROPN
58,公,NOUN
59,元,NOUN
60,年,NOUN
61,三十二,NUM
62,年,NOUN
63,定,PROPN
64,公,NOUN
65,元,NOUN
66,年,NOUN
67,十五,NUM
68,年,NOUN
69,哀,PROPN
70,公,NOUN
71,元,NOUN
72,年,NOUN
73,二十七,NUM
74,年,NOUN
75,隐,PROPN
76,公元,PROPN
77,年,NOUN
78,十一,NUM
79,年,NOUN
80,【,PROPN
81,传,PROPN
82,】,VERB
83,惠,PROPN
84,公,NOUN
85,元,NOUN
86,妃,NOUN
87,孟子,PROPN
88,孟子,PROPN
89,卒,VERB
90,继,NOUN
91,室,NOUN
92,以,VERB
93,声,NOUN
94,子,NOUN
95,生,VERB
96,隐,PROPN
97,公,NOUN
98,宋,PROPN
99,武,PROPN
100,公,NOUN
101,生,VERB
102,仲子,PROPN
103,仲子,PROPN
104,生,VERB
105,而,CCONJ
106,有,VERB
107,文,NOUN
108,在,VERB
109,其,PRON
110,手,NOUN
111,曰,VERB
112,为,ADV
113,鲁,VERB
114,夫,NOUN
115,人,NOUN
116,故,ADV
117,仲子,PROPN
118,归,VERB
119,于,ADP
120,我,PRON
121,生,VERB
122,桓,PROPN
123,公,NOUN
124,而,CCONJ
125,惠,PROPN
126,公,NOUN
127,薨,VERB
128,是,PRON
129,以,VERB
130,隐,NOUN
131,公,NOUN
132,立,VERB
133,而,CCONJ
134,奉,VERB
135,之,PRON
136,隐,PROPN
137,公,NOUN
138,元,NOUN
139,年,NOUN
140,【,NUM
141,经】,NOUN
142,元,NOUN
143,年,NOUN
144,春,NOUN
145,王,NOUN
146,正,NOUN
147,月,NOUN
148,三,NUM
149,月,NOUN
150,公,NOUN
151,及,ADP
152,邾仪,NOUN
153,父,NOUN
154,盟,VERB
155,于,ADP
156,蔑夏,PROPN
157,五,NUM
158,月,NOUN
159,郑,PROPN
160,伯,NOUN
161,克,VERB
162,段,NOUN
163,于,ADP
164,鄢秋,PROPN
165,七,NUM
166,月,NOUN
167,天,NOUN
168,王,NOUN
169,使,VERB
170,宰,PROPN
171,咺,PROPN
172,来,VERB
173,归,PROPN
174,惠,PROPN
175,公,NOUN
176,仲子,PROPN
177,之,SCONJ
178,赗,NOUN
179,九,NUM
180,月,NOUN
181,及,ADP
182,宋,PROPN
183,人,NOUN
184,盟,VERB
185,于,ADP
186,宿,VERB
187,冬,NOUN
188,十,NUM
189,有,ADP
190,二,NUM
191,月,NOUN
192,祭,VERB
193,伯,NOUN
194,来,NOUN
195,公,NOUN
196,子,NOUN
197,益,PROPN
198,师,PROPN
199,卒,VERB
200,【,NUM
201,传】,NOUN
202,元,NOUN
203,年,NOUN
204,春,NOUN
205,王,NOUN
206,周,PROPN
207,正,VERB
208,月,NOUN
209,不,ADV
210,书,VERB
211,即,VERB
212,位,NOUN
213,摄,NOUN
214,也,PART
215,三,NUM
216,月,NOUN
217,公,NOUN
218,及,ADP
219,邾仪,NOUN
220,父,NOUN
221,盟,VERB
222,于,ADP
223,蔑,PROPN
224,邾子,PROPN
225,克,VERB
226,也,PART
227,未,ADV
228,王,VERB
229,命,NOUN
230,故,ADV
231,不,ADV
232,书,VERB
233,爵,NOUN
234,曰,VERB
235,仪,NOUN
236,父,NOUN
237,贵,VERB
238,之,PRON
239,也,PART
240,公,NOUN
241,摄,VERB
242,位,NOUN
243,而,CCONJ
244,欲,AUX
245,求,VERB
246,好,VERB
247,于,ADP
248,邾,NOUN
249,故,ADV
250,为,PRON
251,蔑,VERB
252,之,SCONJ
253,盟,NOUN
254,夏,NOUN
255,四,NUM
256,月,NOUN
257,费,PROPN
258,伯,NOUN
259,帅,PROPN
260,师,NOUN
261,城,NOUN
262,郎,NOUN
263,不,ADV
264,书,VERB
265,非,ADV
266,公,NOUN
267,命,NOUN
268,也,PART
269,初,NOUN
270,郑,PROPN
271,武,PROPN
272,公,NOUN
273,娶,VERB
274,于,ADP
275,申,PROPN
276,曰,VERB
277,武,PROPN
278,姜,PROPN
279,生,NOUN
280,庄,PROPN
281,公,NOUN
282,及,ADP
283,共叔,PROPN
284,段,PROPN
285,庄,PROPN
286,公,NOUN
287,寤,PROPN
288,生,VERB
289,惊,PROPN
290,姜,PROPN
291,氏,NOUN
292,故,ADV
293,名,NOUN
294,曰,VERB
295,寤,VERB
296,生,VERB
297,遂,ADV
298,恶,VERB
299,之,PRON
300,爱,PROPN
301,共叔,PROPN
